symbol
ABFRL
ANTHEM
BAJAJHFL
BAJFINANCE
BPCL
CGPOWER
DELTACORP
DLF
ETERNAL
FORTIS
GOLDBEES-E
HDFCBANK
IDEA
INDIGOPNTS
INFY
IOC
IRB
IRCTC
ITBEES
ITC
ITCHOTELS
JIOFIN
KALPATARU
LIQUIDBEES-F
METALIETF
MODEFENCE
NBCC
NHPC
NIFTYBEES
NTPC
RELIANCE
RENUKA
SBILIFE
SBIN
TATAPOWER
TATASTEEL
TCS
TECHNOE
YESBANK
