[2026-01-27 22:31:43] [INFO] Momentum Engine Started (Chartink Logic)
[2026-02-06 01:21:35] 691UP30A-SG | SKIP insufficient candles
[2026-02-06 01:21:35] 69GA30A-SG | SKIP insufficient candles
[2026-02-06 01:21:36] 69HP30-SG | SKIP insufficient candles
[2026-02-06 01:21:36] 687MH30-SG | SKIP insufficient candles
[2026-02-06 01:21:36] 686KA30-SG | SKIP insufficient candles
[2026-02-06 01:21:36] 684GJ30-SG | SKIP insufficient candles
[2026-02-06 01:21:37] 715JK32-SG | SKIP insufficient candles
[2026-02-06 01:21:37] 707MP32-SG | SKIP insufficient candles
[2026-02-06 01:21:37] 705MH32-SG | SKIP insufficient candles
[2026-02-06 01:21:37] HDFCLIFE | STATE=WAITING
[2026-02-06 01:21:37] HDFCLIFE | ENTRY → ACTIVE
[2026-02-06 01:21:37] 708KA34-SG | SKIP insufficient candles
[2026-02-06 01:21:37] 71AP37-SG | SKIP insufficient candles
[2026-02-06 01:21:38] 709WB40-SG | SKIP insufficient candles
[2026-02-06 01:21:38] 703AP40-SG | SKIP insufficient candles
[2026-02-06 01:21:39] BLUEDART | NEW → WAITING
[2026-02-06 01:21:40] MAZDOCK | STATE=WAITING
[2026-02-06 01:21:40] MAZDOCK | WAITING → DULL
[2026-02-06 01:21:40] BPCL | STATE=WAITING
[2026-02-06 01:21:40] BPCL | ENTRY → ACTIVE
[2026-02-06 01:21:41] BRITANNIA | STATE=WAITING
[2026-02-06 01:21:41] BRITANNIA | ENTRY → ACTIVE
[2026-02-06 01:21:42] 669PN30-SG | SKIP insufficient candles
[2026-02-06 01:21:42] 840IRFC29-N8 | SKIP insufficient candles
[2026-02-06 01:21:43] GRAPHITE | STATE=ACTIVE
[2026-02-06 01:21:43] GRAPHITE | PYRAMID PASS
[2026-02-06 01:21:43] 661KA30-SG | SKIP insufficient candles
[2026-02-06 01:21:43] 663MH30-SG | SKIP insufficient candles
[2026-02-06 01:21:43] 645MH27-SG | SKIP insufficient candles
[2026-02-06 01:21:44] 655MH28-SG | SKIP insufficient candles
[2026-02-06 01:21:44] 665ML30-SG | SKIP insufficient candles
[2026-02-06 01:21:44] 66RJ30A-SG | SKIP insufficient candles
[2026-02-06 01:21:44] 663UP30-SG | SKIP insufficient candles
[2026-02-06 01:21:45] 662UK30-SG | SKIP insufficient candles
[2026-02-06 01:21:45] 675KA33A-SG | SKIP insufficient candles
[2026-02-06 01:21:45] 699WB35-SG | SKIP insufficient candles
[2026-02-06 01:21:45] 691AP39-SG | SKIP insufficient candles
[2026-02-06 01:21:46] 691MP40-SG | SKIP insufficient candles
[2026-02-06 01:21:46] 694TS50A-SG | SKIP insufficient candles
[2026-02-06 01:21:47] CIPLA | STATE=WAITING
[2026-02-06 01:21:47] CIPLA | WAITING → DULL
[2026-02-06 01:21:49] 687AP35-SG | SKIP insufficient candles
[2026-02-06 01:21:50] 656AS30-SG | SKIP insufficient candles
[2026-02-06 01:21:50] 651KA30-SG | SKIP insufficient candles
[2026-02-06 01:21:50] 662JH30-SG | SKIP insufficient candles
[2026-02-06 01:21:50] 689MP40-SG | SKIP insufficient candles
[2026-02-06 01:21:51] 647MH28-SG | SKIP insufficient candles
[2026-02-06 01:21:51] 656MH30-SG | SKIP insufficient candles
[2026-02-06 01:21:51] 654UP30-SG | SKIP insufficient candles
[2026-02-06 01:21:52] 662KA32-SG | SKIP insufficient candles
[2026-02-06 01:21:54] 575PY26-SG | SKIP insufficient candles
[2026-02-06 01:21:54] 61RJ27-SG | SKIP insufficient candles
[2026-02-06 01:21:54] 645HP29-SG | SKIP insufficient candles
[2026-02-06 01:21:54] 651HP30-SG | SKIP insufficient candles
[2026-02-06 01:21:54] 64KA30B-SG | SKIP insufficient candles
[2026-02-06 01:21:55] 64GJ30A-SG | SKIP insufficient candles
[2026-02-06 01:21:55] 642UP30-SG | SKIP insufficient candles
[2026-02-06 01:21:55] SMVD-ST | SKIP insufficient candles
[2026-02-06 01:21:55] 642GA30-SG | SKIP insufficient candles
[2026-02-06 01:21:55] 644UK30-SG | SKIP insufficient candles
[2026-02-06 01:21:56] 645RJ30-SG | SKIP insufficient candles
[2026-02-06 01:21:56] 655TR30-SG | SKIP insufficient candles
[2026-02-06 01:21:56] 648KA31-SG | SKIP insufficient candles
[2026-02-06 01:21:56] 655AP33-SG | SKIP insufficient candles
[2026-02-06 01:21:57] 672HR35-SG | SKIP insufficient candles
[2026-02-06 01:21:57] 677AP38-SG | SKIP insufficient candles
[2026-02-06 01:21:57] 676PN40-SG | SKIP insufficient candles
[2026-02-06 01:21:57] 678TS50-SG | SKIP insufficient candles
[2026-02-06 01:21:59] EICHERMOT | STATE=WAITING
[2026-02-06 01:21:59] EICHERMOT | ENTRY → ACTIVE
[2026-02-06 01:22:02] 622GS2035-GS | SKIP insufficient candles
[2026-02-06 01:22:02] ESCORTS | STATE=WAITING
[2026-02-06 01:22:02] ESCORTS | ENTRY → ACTIVE
[2026-02-06 01:22:03] 675RJ30-SG | SKIP insufficient candles
[2026-02-06 01:22:03] 64KA30C-SG | SKIP insufficient candles
[2026-02-06 01:22:03] 64MH30-SG | SKIP insufficient candles
[2026-02-06 01:22:03] 643AP30-SG | SKIP insufficient candles
[2026-02-06 01:22:04] 646GJ30-SG | SKIP insufficient candles
[2026-02-06 01:22:04] 648AS30-SG | SKIP insufficient candles
[2026-02-06 01:22:04] 648MZ30-SG | SKIP insufficient candles
[2026-02-06 01:22:04] 65NL30-SG | SKIP insufficient candles
[2026-02-06 01:22:05] 652PY30-SG | SKIP insufficient candles
[2026-02-06 01:22:05] 659UP30-SG | SKIP insufficient candles
[2026-02-06 01:22:05] 656MH32-SG | SKIP insufficient candles
[2026-02-06 01:22:05] 679AP34-SG | SKIP insufficient candles
[2026-02-06 01:22:05] 675KA35-SG | SKIP insufficient candles
[2026-02-06 01:22:06] 679PN35-SG | SKIP insufficient candles
[2026-02-06 01:22:06] 68JK35-SG | SKIP insufficient candles
[2026-02-06 01:22:06] SCHAEFFLER | STATE=WAITING
[2026-02-06 01:22:06] SCHAEFFLER | ENTRY → ACTIVE
[2026-02-06 01:22:06] 676MP40-SG | SKIP insufficient candles
[2026-02-06 01:22:07] 688WB40-SG | SKIP insufficient candles
[2026-02-06 01:22:07] 68TS50-SG | SKIP insufficient candles
[2026-02-06 01:22:08] 655GA30-SG | SKIP insufficient candles
[2026-02-06 01:22:09] 65GJ30-SG | SKIP insufficient candles
[2026-02-06 01:22:09] ZENSARTECH | STATE=WAITING
[2026-02-06 01:22:09] ZENSARTECH | WAITING → DULL
[2026-02-06 01:22:09] 659HR30-SG | SKIP insufficient candles
[2026-02-06 01:22:09] 647KA30-SG | SKIP insufficient candles
[2026-02-06 01:22:09] 661RJ30-SG | SKIP insufficient candles
[2026-02-06 01:22:09] 66SK30-SG | SKIP insufficient candles
[2026-02-06 01:22:10] 66UP30-SG | SKIP insufficient candles
[2026-02-06 01:22:10] 684MZ34-SG | SKIP insufficient candles
[2026-02-06 01:22:10] 675KA34-SG | SKIP insufficient candles
[2026-02-06 01:22:10] 679MP40-SG | SKIP insufficient candles
[2026-02-06 01:22:10] 68TS50A-SG | SKIP insufficient candles
[2026-02-06 01:22:12] 654AR30-SG | SKIP insufficient candles
[2026-02-06 01:22:13] 649KA30A-SG | SKIP insufficient candles
[2026-02-06 01:22:13] 654RJ30A-SG | SKIP insufficient candles
[2026-02-06 01:22:13] 66AS30-SG | SKIP insufficient candles
[2026-02-06 01:22:13] 66PN30-SG | SKIP insufficient candles
[2026-02-06 01:22:14] 672KA33-SG | SKIP insufficient candles
[2026-02-06 01:22:14] 678WB35-SG | SKIP insufficient candles
[2026-02-06 01:22:14] 681TR35-SG | SKIP insufficient candles
[2026-02-06 01:22:15] GLAND | STATE=WAITING
[2026-02-06 01:22:16] 635MH28-SG | SKIP insufficient candles
[2026-02-06 01:22:16] 653HP29-SG | SKIP insufficient candles
[2026-02-06 01:22:16] 66HP30-SG | SKIP insufficient candles
[2026-02-06 01:22:17] 65KA30A-SG | SKIP insufficient candles
[2026-02-06 01:22:17] GRASIM | STATE=WAITING
[2026-02-06 01:22:17] GRASIM | ENTRY → ACTIVE
[2026-02-06 01:22:17] 65GJ30A-SG | SKIP insufficient candles
[2026-02-06 01:22:17] 652MH30-SG | SKIP insufficient candles
[2026-02-06 01:22:17] 657GA30-SG | SKIP insufficient candles
[2026-02-06 01:22:18] 658UP30-SG | SKIP insufficient candles
[2026-02-06 01:22:18] 659RJ30A-SG | SKIP insufficient candles
[2026-02-06 01:22:18] 664AS30-SG | SKIP insufficient candles
[2026-02-06 01:22:18] 666KA32-SG | SKIP insufficient candles
[2026-02-06 01:22:19] 667MH32-SG | SKIP insufficient candles
[2026-02-06 01:22:19] 67JK32-SG | SKIP insufficient candles
[2026-02-06 01:22:19] 673TN40-SG | SKIP insufficient candles
[2026-02-06 01:22:19] 673TS50-SG | SKIP insufficient candles
[2026-02-06 01:22:20] VASA-SM | SKIP insufficient candles
[2026-02-06 01:22:22] 585GS2030-GS | SKIP insufficient candles
[2026-02-06 01:22:22] HEROMOTOCO | STATE=WAITING
[2026-02-06 01:22:22] HEROMOTOCO | ENTRY → ACTIVE
[2026-02-06 01:22:22] PARAMPARA-SM | SKIP insufficient candles
[2026-02-06 01:22:23] 622KL27-SG | SKIP insufficient candles
[2026-02-06 01:22:23] 64AP28-SG | SKIP insufficient candles
[2026-02-06 01:22:23] 649GJ29-SG | SKIP insufficient candles
[2026-02-06 01:22:23] 653KA30-SG | SKIP insufficient candles
[2026-02-06 01:22:23] 66MN30-SG | SKIP insufficient candles
[2026-02-06 01:22:24] 662RJ30-SG | SKIP insufficient candles
[2026-02-06 01:22:24] 665JK30-SG | SKIP insufficient candles
[2026-02-06 01:22:25] 668JH32-SG | SKIP insufficient candles
[2026-02-06 01:22:25] 668AP33-SG | SKIP insufficient candles
[2026-02-06 01:22:25] 669KA37-SG | SKIP insufficient candles
[2026-02-06 01:22:25] 855IREDA29-N2 | SKIP insufficient candles
[2026-02-06 01:22:25] 673PN40-SG | SKIP insufficient candles
[2026-02-06 01:22:25] 855IREDA34-N3 | SKIP insufficient candles
[2026-02-06 01:22:26] 674TS50-SG | SKIP insufficient candles
[2026-02-06 01:22:27] 66RJ30B-SG | SKIP insufficient candles
[2026-02-06 01:22:27] HINDZINC | STATE=WAITING
[2026-02-06 01:22:27] HINDZINC | WAITING → DULL
[2026-02-06 01:22:27] 662AS30-SG | SKIP insufficient candles
[2026-02-06 01:22:28] 662NL30-SG | SKIP insufficient candles
[2026-02-06 01:22:28] 668MZ31-SG | SKIP insufficient candles
[2026-02-06 01:22:28] 668AP35A-SG | SKIP insufficient candles
[2026-02-06 01:22:28] 668KA36-SG | SKIP insufficient candles
[2026-02-06 01:22:29] 671WB40-SG | SKIP insufficient candles
[2026-02-06 01:22:29] 671TS40-SG | SKIP insufficient candles
[2026-02-06 01:22:29] 593CG26-SG | SKIP insufficient candles
[2026-02-06 01:22:29] 654KA30-SG | SKIP insufficient candles
[2026-02-06 01:22:29] 655GA30A-SG | SKIP insufficient candles
[2026-02-06 01:22:30] AKZOINDIA | STATE=WAITING
[2026-02-06 01:22:30] AKZOINDIA | WAITING → DULL
[2026-02-06 01:22:32] 654GA30A-SG | SKIP insufficient candles
[2026-02-06 01:22:32] 652KA30-SG | SKIP insufficient candles
[2026-02-06 01:22:33] 656UP30-SG | SKIP insufficient candles
[2026-02-06 01:22:33] 66ML30-SG | SKIP insufficient candles
[2026-02-06 01:22:33] 665KA35-SG | SKIP insufficient candles
[2026-02-06 01:22:33] 668WB35-SG | SKIP insufficient candles
[2026-02-06 01:22:34] 667TS50-SG | SKIP insufficient candles
[2026-02-06 01:22:34] GILLETTE | STATE=WAITING
[2026-02-06 01:22:34] GILLETTE | WAITING → DULL
[2026-02-06 01:22:36] IOC | STATE=WAITING
[2026-02-06 01:22:36] IOC | ENTRY → ACTIVE
[2026-02-06 01:22:37] IONEXCHANG | NEW → WAITING
[2026-02-06 01:22:37] 657HP30-SG | SKIP insufficient candles
[2026-02-06 01:22:37] 66AS30A-SG | SKIP insufficient candles
[2026-02-06 01:22:37] 658GA30A-SG | SKIP insufficient candles
[2026-02-06 01:22:38] 657HP30A-SG | SKIP insufficient candles
[2026-02-06 01:22:38] 66UP30A-SG | SKIP insufficient candles
[2026-02-06 01:22:38] 651KA30B-SG | SKIP insufficient candles
[2026-02-06 01:22:38] 663KA34-SG | SKIP insufficient candles
[2026-02-06 01:22:38] 663TN35-SG | SKIP insufficient candles
[2026-02-06 01:22:38] 669TS40-SG | SKIP insufficient candles
[2026-02-06 01:22:38] ITC | STATE=WAITING
[2026-02-06 01:22:38] ITC | WAITING → DULL
[2026-02-06 01:22:40] 662UP30-SG | SKIP insufficient candles
[2026-02-06 01:22:40] 588CG26-SG | SKIP insufficient candles
[2026-02-06 01:22:40] 617KL27-SG | SKIP insufficient candles
[2026-02-06 01:22:41] 66ML30A-SG | SKIP insufficient candles
