[2026-02-02 22:56:49] BPCL | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:49] BPCL | CHECK | ema_distance_ok = True
[2026-02-02 22:56:49] BPCL | FAIL | pyramiding conditions not met
[2026-02-02 22:56:49] COALINDIA | CHECK | rsi_strengthening = False
[2026-02-02 22:56:49] COALINDIA | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:49] COALINDIA | CHECK | ema_distance_ok = True
[2026-02-02 22:56:49] COALINDIA | FAIL | pyramiding conditions not met
[2026-02-02 22:56:50] CUB | CHECK | rsi_strengthening = False
[2026-02-02 22:56:50] CUB | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:50] CUB | CHECK | ema_distance_ok = True
[2026-02-02 22:56:50] CUB | FAIL | pyramiding conditions not met
[2026-02-02 22:56:50] DATAPATTNS | CHECK | rsi_strengthening = True
[2026-02-02 22:56:50] DATAPATTNS | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:50] DATAPATTNS | CHECK | ema_distance_ok = True
[2026-02-02 22:56:50] DATAPATTNS | FAIL | pyramiding conditions not met
[2026-02-02 22:56:50] DLF | CHECK | rsi_strengthening = False
[2026-02-02 22:56:50] DLF | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:50] DLF | CHECK | ema_distance_ok = True
[2026-02-02 22:56:50] DLF | FAIL | pyramiding conditions not met
[2026-02-02 22:56:50] FEDERALBNK | CHECK | rsi_strengthening = False
[2026-02-02 22:56:50] FEDERALBNK | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:50] FEDERALBNK | CHECK | ema_distance_ok = True
[2026-02-02 22:56:50] FEDERALBNK | FAIL | pyramiding conditions not met
[2026-02-02 22:56:51] GAIL | CHECK | rsi_strengthening = False
[2026-02-02 22:56:51] GAIL | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:51] GAIL | CHECK | ema_distance_ok = True
[2026-02-02 22:56:51] GAIL | FAIL | pyramiding conditions not met
[2026-02-02 22:56:51] GESHIP | CHECK | rsi_strengthening = True
[2026-02-02 22:56:51] GESHIP | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:51] GESHIP | CHECK | ema_distance_ok = True
[2026-02-02 22:56:51] GESHIP | FAIL | pyramiding conditions not met
[2026-02-02 22:56:51] GVT&D | CHECK | rsi_strengthening = True
[2026-02-02 22:56:51] GVT&D | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:51] GVT&D | CHECK | ema_distance_ok = False
[2026-02-02 22:56:51] GVT&D | FAIL | pyramiding conditions not met
[2026-02-02 22:56:51] HCLTECH | CHECK | rsi_strengthening = False
[2026-02-02 22:56:51] HCLTECH | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:51] HCLTECH | CHECK | ema_distance_ok = True
[2026-02-02 22:56:51] HCLTECH | FAIL | pyramiding conditions not met
[2026-02-02 22:56:52] HINDCOPPER | CHECK | rsi_strengthening = False
[2026-02-02 22:56:52] HINDCOPPER | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:52] HINDCOPPER | CHECK | ema_distance_ok = True
[2026-02-02 22:56:52] HINDCOPPER | FAIL | pyramiding conditions not met
[2026-02-02 22:56:52] ICICIBANK | CHECK | rsi_strengthening = False
[2026-02-02 22:56:52] ICICIBANK | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:52] ICICIBANK | CHECK | ema_distance_ok = True
[2026-02-02 22:56:52] ICICIBANK | FAIL | pyramiding conditions not met
[2026-02-02 22:56:52] IOC | CHECK | rsi_strengthening = True
[2026-02-02 22:56:52] IOC | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:52] IOC | CHECK | ema_distance_ok = True
[2026-02-02 22:56:52] IOC | FAIL | pyramiding conditions not met
[2026-02-02 22:56:52] IRCTC | CHECK | rsi_strengthening = True
[2026-02-02 22:56:52] IRCTC | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:52] IRCTC | CHECK | ema_distance_ok = True
[2026-02-02 22:56:52] IRCTC | FAIL | pyramiding conditions not met
[2026-02-02 22:56:52] IREDA | CHECK | rsi_strengthening = False
[2026-02-02 22:56:52] IREDA | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:52] IREDA | CHECK | ema_distance_ok = True
[2026-02-02 22:56:52] IREDA | FAIL | pyramiding conditions not met
[2026-02-02 22:56:53] ITCHOTELS | CHECK | rsi_strengthening = True
[2026-02-02 22:56:53] ITCHOTELS | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:53] ITCHOTELS | CHECK | ema_distance_ok = True
[2026-02-02 22:56:53] ITCHOTELS | FAIL | pyramiding conditions not met
[2026-02-02 22:56:53] KARURVYSYA | CHECK | rsi_strengthening = False
[2026-02-02 22:56:53] KARURVYSYA | CHECK | close_breaks_recent_high = False
